LSOA21CD,med_price_dec_21
E01012722,207000.0
E01012723,125000.0
E01012724,105000.0
E01012725,140000.0
E01012726,141500.0
E01012727,185000.0
E01012728,127500.0
E01012729,136250.0
E01012730,232500.0
E01012731,110000.0
E01012732,164000.0
E01012733,120250.0
E01012734,129950.0
E01012735,133750.0
E01012736,70000.0
E01012737,83500.0
E01012738,90500.0
E01012739,99000.0
E01012740,171250.0
E01012741,123500.0
E01012742,124950.0
E01012743,95000.0
E01012744,92500.0
E01012745,122500.0
E01012746,99000.0
E01012747,195000.0
E01012748,124000.0
E01012749,159975.0
E01012750,137375.0
E01012751,93000.0
E01012752,139950.0
E01012753,165000.0
E01012754,141000.0
E01012755,185000.0
E01012756,142500.0
E01012757,128000.0
E01012758,265500.0
E01012759,103000.0
E01012760,99500.0
E01012761,81250.0
E01012762,168750.0
E01012763,136000.0
E01012764,147350.0
E01012765,114000.0
E01012766,150000.0
E01012767,162000.0
E01012768,130000.0
E01012769,135000.0
E01012770,200000.0
E01012771,142000.0
E01012772,123500.0
E01012773,118000.0
E01012774,120000.0
E01012775,128000.0
E01012776,123000.0
E01012777,161156.0
E01012778,
E01012779,
E01012780,
E01012781,
E01012782,
E01012783,95250.0
E01012784,150000.0
E01012785,
E01012786,90500.0
E01012787,86000.0
E01012788,85000.0
E01012789,85000.0
E01012790,87500.0
E01012791,154950.0
E01012792,155000.0
E01012793,156000.0
E01012794,150000.0
E01012795,118000.0
E01012796,145000.0
E01012797,109975.0
E01012798,95750.0
E01012799,108000.0
E01012800,120000.0
E01012801,125000.0
E01012802,121000.0
E01012803,126500.0
E01012804,125000.0
E01012805,63750.0
E01012806,72250.0
E01012807,177250.0
E01012808,95000.0
E01012809,68750.0
E01012810,162000.0
E01012811,145000.0
E01012812,191000.0
E01012813,169000.0
E01012814,178000.0
E01012815,130000.0
E01012816,126500.0
E01012817,93750.0
E01012818,144000.0
E01012819,111500.0
E01012820,123750.0
E01012821,203995.0
E01012822,215500.0
E01012823,
E01012824,211000.0
E01012825,151000.0
E01012826,87500.0
E01012827,174000.0
E01012828,120500.0
E01012829,136500.0
E01012830,133500.0
E01012832,163000.0
E01012833,95000.0
E01012834,82500.0
E01012835,146500.0
E01012836,102000.0
E01012837,109000.0
E01012838,80000.0
E01012839,135000.0
E01012840,89000.0
E01012841,80000.0
E01012842,86000.0
E01012843,165495.0
E01012844,
E01012845,83500.0
E01012846,88750.0
E01012847,81000.0
E01012848,119975.0
E01012849,97000.0
E01012850,88500.0
E01012851,80000.0
E01012852,98750.0
E01012854,112500.0
E01012855,66000.0
E01012856,90000.0
E01012857,85000.0
E01012858,133500.0
E01012859,70050.0
E01012860,144000.0
E01012862,110000.0
E01012863,133500.0
E01012864,89000.0
E01012865,84799.0
E01012866,95000.0
E01012867,75000.0
E01012868,87500.0
E01012869,88500.0
E01012870,91500.0
E01012871,101500.0
E01012872,84500.0
E01012873,
E01012874,83000.0
E01012875,
E01012876,80000.0
E01012877,
E01012878,87500.0
E01012879,
E01012880,100000.0
E01012881,84625.0
E01012882,160000.0
E01012883,140475.0
E01012884,111500.0
E01012886,155000.0
E01012887,120000.0
E01012888,62000.0
E01012889,
E01012891,70500.0
E01012892,82000.0
E01012893,77500.0
E01012894,130500.0
E01012895,
E01012896,125500.0
E01012897,
E01012898,87500.0
E01012899,110750.0
E01012900,67000.0
E01012901,118000.0
E01012902,119000.0
E01012903,79000.0
E01012904,160000.0
E01012905,110000.0
E01012906,90000.0
E01012907,160500.0
E01012908,108000.0
E01012909,140000.0
E01012910,120000.0
E01012911,160000.0
E01012912,133750.0
E01012913,100000.0
E01012914,86500.0
E01012915,107500.0
E01012916,120000.0
E01012917,137000.0
E01012918,105000.0
E01032595,122000.0
E01033104,150500.0
E01033105,182500.0
E01033106,160000.0
E01033107,177000.0
E01033108,191995.0
E01033109,105000.0
E01033110,150995.0
E01012919,320000.0
E01012920,330000.0
E01012921,329000.0
E01012922,340000.0
E01012923,335000.0
E01012924,295000.0
E01012925,242000.0
E01012926,210000.0
E01012927,275000.0
E01012928,87500.0
E01012929,139225.0
E01012930,159950.0
E01012931,120000.0
E01012932,145475.0
E01012933,201050.0
E01012934,154998.0
E01012935,225000.0
E01012936,180000.0
E01012937,190000.0
E01012938,148000.0
E01012939,245000.0
E01012940,174500.0
E01012941,169725.0
E01012942,189725.0
E01012943,128000.0
E01012944,132500.0
E01012945,127500.0
E01012946,135000.0
E01012947,200000.0
E01012948,115000.0
E01012949,117475.0
E01012950,233000.0
E01012951,142500.0
E01012952,160000.0
E01012953,144995.0
E01012954,283995.0
E01012955,230000.0
E01012956,217500.0
E01012957,152000.0
E01012958,235000.0
E01012959,150000.0
E01012960,229500.0
E01012961,243500.0
E01012962,220000.0
E01012963,169000.0
E01012964,155000.0
E01012965,217500.0
E01012966,232500.0
E01012967,258000.0
E01012968,268000.0
E01012969,200000.0
E01012970,285000.0
E01012972,285000.0
E01012973,205000.0
E01012974,168000.0
E01012975,202998.0
E01012976,140000.0
E01012977,236500.0
E01012978,219950.0
E01012979,175000.0
E01012980,144500.0
E01012981,222500.0
E01012982,152500.0
E01012983,175000.0
E01012984,235000.0
E01012985,200000.0
E01012986,159475.0
E01012987,295000.0
E01012988,242500.0
E01012989,255000.0
E01012990,244998.0
E01012991,238000.0
E01012992,187475.0
E01012993,178250.0
E01012994,144000.0
E01012995,145000.0
E01012996,230000.0
E01012997,99750.0
E01012998,175000.0
E01012999,96750.0
E01013000,108000.0
E01013001,175000.0
E01013002,101500.0
E01013003,170000.0
E01013004,122553.0
E01013005,275000.0
E01013006,140000.0
E01013007,217000.0
E01013008,138500.0
E01013009,167500.0
E01013010,160000.0
E01013011,199950.0
E01013012,276000.0
E01013013,139975.0
E01013014,170000.0
E01013015,191000.0
E01013016,300000.0
E01013017,250000.0
E01013018,195500.0
E01013019,205000.0
E01013020,200000.0
E01013021,169995.0
E01013022,322000.0
E01013023,285000.0
E01013024,236000.0
E01013025,325000.0
E01013026,173500.0
E01013027,211601.0
E01013028,192000.0
E01013029,150000.0
E01013030,192250.0
E01013031,165000.0
E01013032,153000.0
E01013033,165000.0
E01013034,192000.0
E01013035,228000.0
E01013036,162000.0
E01013037,161250.0
E01013038,152500.0
E01013039,245500.0
E01013040,188000.0
E01013041,225000.0
E01013042,289950.0
E01013043,297450.0
E01013044,285000.0
E01013045,146475.0
E01013046,230000.0
E01013047,173500.0
E01013048,229500.0
E01013049,183750.0
E01013050,201063.0
E01013051,145000.0
E01013052,258750.0
