2021 super output area - lower layer,mnemonic,Total,%,Aged 4 years and under,%,Aged 5 to 9 years,%,Aged 10 to 14 years,%,Aged 15 to 19 years,%,Aged 20 to 24 years,%,Aged 25 to 29 years,%,Aged 30 to 34 years,%,Aged 35 to 39 years,%,Aged 40 to 44 years,%,Aged 45 to 49 years,%,Aged 50 to 54 years,%,Aged 55 to 59 years,%,Aged 60 to 64 years,%,Aged 65 to 69 years,%,Aged 70 to 74 years,%,Aged 75 to 79 years,%,Aged 80 to 84 years,%,Aged 85 years and over,%
Newcastle upon Tyne 027E,E01008292,1286,100,43,3.3,58,4.5,69,5.4,60,4.7,63,4.9,78,6.1,84,6.5,64,5,81,6.3,61,4.7,93,7.2,109,8.5,113,8.8,83,6.5,71,5.5,54,4.2,46,3.6,56,4.4
Newcastle upon Tyne 028A,E01008388,1818,100,145,8,132,7.3,126,6.9,122,6.7,148,8.1,161,8.9,123,6.8,116,6.4,90,5,103,5.7,128,7,103,5.7,93,5.1,71,3.9,61,3.4,38,2.1,27,1.5,31,1.7
Newcastle upon Tyne 028B,E01008389,1670,100,110,6.6,145,8.7,113,6.8,109,6.5,79,4.7,91,5.4,110,6.6,116,6.9,95,5.7,134,8,116,6.9,119,7.1,95,5.7,74,4.4,66,4,35,2.1,37,2.2,26,1.6
Newcastle upon Tyne 028C,E01008426,1580,100,87,5.5,120,7.6,151,9.6,120,7.6,94,5.9,82,5.2,87,5.5,112,7.1,109,6.9,121,7.7,97,6.1,120,7.6,80,5.1,65,4.1,61,3.9,39,2.5,24,1.5,11,0.7
Newcastle upon Tyne 028D,E01008429,1546,100,81,5.2,116,7.5,109,7.1,104,6.7,85,5.5,92,6,85,5.5,102,6.6,73,4.7,90,5.8,94,6.1,96,6.2,85,5.5,62,4,74,4.8,55,3.6,58,3.8,85,5.5
Newcastle upon Tyne 030A,E01008390,1969,100,195,9.9,225,11.4,143,7.3,103,5.2,98,5,148,7.5,137,7,162,8.2,134,6.8,112,5.7,122,6.2,98,5,89,4.5,71,3.6,57,2.9,33,1.7,22,1.1,20,1
Newcastle upon Tyne 030B,E01008425,1402,100,73,5.2,53,3.8,49,3.5,64,4.6,99,7.1,101,7.2,99,7.1,73,5.2,60,4.3,88,6.3,111,7.9,120,8.6,111,7.9,118,8.4,71,5.1,50,3.6,30,2.1,32,2.3
Newcastle upon Tyne 030C,E01008427,1333,100,94,7.1,101,7.6,84,6.3,64,4.8,87,6.5,102,7.7,109,8.2,105,7.9,77,5.8,61,4.6,99,7.4,113,8.5,73,5.5,50,3.8,40,3,40,3,19,1.4,15,1.1
Newcastle upon Tyne 030D,E01008428,1480,100,87,5.9,103,7,102,6.9,57,3.9,82,5.5,78,5.3,93,6.3,92,6.2,92,6.2,85,5.7,66,4.5,105,7.1,91,6.1,84,5.7,99,6.7,63,4.3,58,3.9,43,2.9
Newcastle upon Tyne 031A,E01008441,1815,100,130,7.2,110,6.1,87,4.8,72,4,121,6.7,153,8.4,149,8.2,127,7,66,3.6,90,5,115,6.3,119,6.6,124,6.8,98,5.4,96,5.3,77,4.2,45,2.5,36,2
Newcastle upon Tyne 031B,E01008442,1312,100,53,4,66,5,59,4.5,57,4.3,57,4.3,46,3.5,54,4.1,86,6.6,53,4,62,4.7,86,6.6,98,7.5,94,7.2,75,5.7,129,9.8,94,7.2,83,6.3,60,4.6
Newcastle upon Tyne 031C,E01008444,1597,100,79,4.9,94,5.9,63,3.9,52,3.3,81,5.1,95,5.9,66,4.1,100,6.3,104,6.5,76,4.8,79,4.9,113,7.1,117,7.3,100,6.3,145,9.1,102,6.4,67,4.2,64,4
Newcastle upon Tyne 031D,E01008445,2102,100,107,5.1,98,4.7,142,6.8,124,5.9,116,5.5,133,6.3,127,6,149,7.1,123,5.9,122,5.8,149,7.1,169,8,127,6,106,5,109,5.2,67,3.2,54,2.6,80,3.8
Newcastle upon Tyne 031E,E01008446,1351,100,39,2.9,52,3.8,46,3.4,44,3.3,60,4.4,58,4.3,52,3.8,58,4.3,61,4.5,70,5.2,68,5,128,9.5,105,7.8,120,8.9,133,9.8,107,7.9,90,6.7,60,4.4
Newcastle upon Tyne 031F,E01008447,1300,100,45,3.5,56,4.3,51,3.9,49,3.8,50,3.8,62,4.8,56,4.3,48,3.7,56,4.3,59,4.5,72,5.5,104,8,97,7.5,95,7.3,107,8.2,109,8.4,92,7.1,92,7.1
Newcastle upon Tyne 031G,E01008448,1372,100,46,3.4,63,4.6,56,4.1,41,3,52,3.8,47,3.4,54,3.9,62,4.5,76,5.5,71,5.2,78,5.7,102,7.4,145,10.6,114,8.3,169,12.3,104,7.6,49,3.6,43,3.1
Newcastle upon Tyne 032A,E01008306,2360,100,133,5.6,116,4.9,117,5,101,4.3,94,4,194,8.2,188,8,146,6.2,148,6.3,135,5.7,145,6.1,154,6.5,145,6.1,137,5.8,149,6.3,131,5.6,64,2.7,63,2.7
Newcastle upon Tyne 032B,E01008307,1352,100,78,5.8,58,4.3,64,4.7,46,3.4,69,5.1,133,9.8,128,9.5,92,6.8,78,5.8,83,6.1,89,6.6,83,6.1,78,5.8,45,3.3,73,5.4,41,3,44,3.3,70,5.2
Newcastle upon Tyne 032C,E01035613,1425,100,98,6.9,98,6.9,54,3.8,72,5.1,80,5.6,123,8.6,159,11.2,78,5.5,109,7.6,99,6.9,101,7.1,102,7.2,54,3.8,53,3.7,50,3.5,37,2.6,25,1.8,33,2.3
Newcastle upon Tyne 032D,E01035614,1761,100,207,11.8,203,11.5,135,7.7,63,3.6,59,3.4,142,8.1,189,10.7,234,13.3,176,10,109,6.2,68,3.9,61,3.5,52,3,35,2,13,0.7,8,0.5,3,0.2,4,0.2
Newcastle upon Tyne 032E,E01035615,1541,100,172,11.2,166,10.8,106,6.9,61,4,55,3.6,150,9.7,211,13.7,188,12.2,166,10.8,92,6,57,3.7,43,2.8,36,2.3,10,0.6,15,1,4,0.3,4,0.3,5,0.3
Newcastle upon Tyne 032F,E01035616,1492,100,172,11.5,159,10.7,90,6,46,3.1,57,3.8,141,9.5,187,12.5,235,15.8,148,9.9,80,5.4,59,4,34,2.3,24,1.6,24,1.6,10,0.7,2,0.1,7,0.5,17,1.1
Newcastle upon Tyne 033A,E01008311,2221,100,112,5,174,7.8,179,8.1,136,6.1,76,3.4,95,4.3,127,5.7,155,7,182,8.2,195,8.8,158,7.1,169,7.6,129,5.8,129,5.8,96,4.3,47,2.1,31,1.4,31,1.4
Newcastle upon Tyne 033B,E01008312,1163,100,69,5.9,64,5.5,60,5.2,74,6.4,53,4.6,62,5.3,77,6.6,83,7.1,82,7.1,64,5.5,78,6.7,89,7.7,85,7.3,72,6.2,80,6.9,36,3.1,21,1.8,14,1.2
Newcastle upon Tyne 033C,E01008313,1184,100,42,3.5,68,5.7,73,6.2,70,5.9,58,4.9,73,6.2,85,7.2,74,6.2,84,7.1,84,7.1,69,5.8,80,6.8,82,6.9,90,7.6,79,6.7,41,3.5,17,1.4,15,1.3
Newcastle upon Tyne 033D,E01008294,1358,100,41,3,66,4.9,79,5.8,59,4.3,51,3.8,97,7.1,107,7.9,72,5.3,79,5.8,83,6.1,75,5.5,95,7,123,9.1,121,8.9,91,6.7,51,3.8,31,2.3,37,2.7
Newcastle upon Tyne 034A,E01008412,1522,100,55,3.6,56,3.7,48,3.2,60,3.9,439,28.8,231,15.2,144,9.5,99,6.5,76,5,64,4.2,46,3,47,3.1,42,2.8,52,3.4,32,2.1,17,1.1,6,0.4,8,0.5
Newcastle upon Tyne 034B,E01008410,2521,100,34,1.3,40,1.6,46,1.8,643,25.5,933,37,166,6.6,92,3.6,72,2.9,47,1.9,50,2,66,2.6,60,2.4,74,2.9,53,2.1,61,2.4,43,1.7,27,1.1,14,0.6
Newcastle upon Tyne 034C,E01008413,1365,100,41,3,35,2.6,30,2.2,61,4.5,486,35.6,202,14.8,117,8.6,62,4.5,58,4.2,50,3.7,66,4.8,39,2.9,48,3.5,27,2,19,1.4,4,0.3,11,0.8,9,0.7
Newcastle upon Tyne 034D,E01008407,3264,100,36,1.1,30,0.9,34,1,1003,30.7,1342,41.1,228,7,127,3.9,79,2.4,59,1.8,70,2.1,39,1.2,52,1.6,45,1.4,36,1.1,41,1.3,25,0.8,11,0.3,7,0.2
Newcastle upon Tyne 035A,E01008392,1820,100,106,5.8,72,4,75,4.1,68,3.7,129,7.1,222,12.2,171,9.4,139,7.6,153,8.4,104,5.7,103,5.7,109,6,93,5.1,91,5,49,2.7,51,2.8,66,3.6,19,1
Newcastle upon Tyne 035B,E01008432,1434,100,65,4.5,66,4.6,56,3.9,65,4.5,82,5.7,110,7.7,97,6.8,77,5.4,76,5.3,64,4.5,146,10.2,119,8.3,95,6.6,91,6.3,86,6,53,3.7,59,4.1,27,1.9
Newcastle upon Tyne 035C,E01008391,1623,100,123,7.6,195,12,118,7.3,109,6.7,117,7.2,137,8.4,128,7.9,101,6.2,71,4.4,85,5.2,95,5.9,99,6.1,71,4.4,59,3.6,47,2.9,33,2,23,1.4,12,0.7
Newcastle upon Tyne 035D,E01008302,1628,100,103,6.3,117,7.2,89,5.5,66,4.1,118,7.2,114,7,156,9.6,112,6.9,87,5.3,78,4.8,91,5.6,106,6.5,77,4.7,73,4.5,62,3.8,66,4.1,57,3.5,56,3.4
Newcastle upon Tyne 036A,E01035617,3573,100,55,1.5,53,1.5,56,1.6,1442,40.4,743,20.8,226,6.3,167,4.7,94,2.6,74,2.1,75,2.1,85,2.4,106,3,90,2.5,86,2.4,72,2,42,1.2,53,1.5,54,1.5
Newcastle upon Tyne 036B,E01008397,2800,100,10,0.4,10,0.4,15,0.5,610,21.8,1406,50.2,318,11.4,141,5,63,2.2,33,1.2,38,1.4,39,1.4,36,1.3,39,1.4,15,0.5,12,0.4,4,0.1,4,0.1,7,0.2
Newcastle upon Tyne 036C,E01033543,1820,100,12,0.7,8,0.4,4,0.2,311,17.1,746,41,296,16.3,160,8.8,82,4.5,41,2.3,77,4.2,28,1.5,18,1,15,0.8,12,0.7,3,0.2,3,0.2,2,0.1,2,0.1
Newcastle upon Tyne 036D,E01033545,2061,100,38,1.8,11,0.5,12,0.6,120,5.8,636,30.9,458,22.2,286,13.9,221,10.7,68,3.3,54,2.6,39,1.9,45,2.2,26,1.3,18,0.9,14,0.7,8,0.4,1,0,6,0.3
Newcastle upon Tyne 037A,E01008406,3962,100,42,1.1,47,1.2,52,1.3,1347,34,1428,36,283,7.1,108,2.7,86,2.2,76,1.9,92,2.3,60,1.5,98,2.5,77,1.9,51,1.3,39,1,33,0.8,20,0.5,23,0.6
Newcastle upon Tyne 037B,E01033553,2986,100,15,0.5,10,0.3,6,0.2,939,31.4,1264,42.3,292,9.8,144,4.8,85,2.8,59,2,31,1,39,1.3,35,1.2,22,0.7,20,0.7,15,0.5,3,0.1,3,0.1,4,0.1
Newcastle upon Tyne 037C,E01033548,1470,100,37,2.5,34,2.3,29,2,129,8.8,300,20.4,232,15.8,122,8.3,88,6,75,5.1,80,5.4,70,4.8,75,5.1,64,4.4,47,3.2,37,2.5,24,1.6,17,1.2,10,0.7
Newcastle upon Tyne 038A,E01008334,2300,100,219,9.5,214,9.3,166,7.2,179,7.8,140,6.1,186,8.1,165,7.2,243,10.6,155,6.7,161,7,111,4.8,78,3.4,81,3.5,60,2.6,65,2.8,26,1.1,24,1,27,1.2
Newcastle upon Tyne 038B,E01035618,1591,100,212,13.3,199,12.5,208,13.1,86,5.4,110,6.9,95,6,128,8,142,8.9,127,8,96,6,57,3.6,35,2.2,56,3.5,12,0.8,14,0.9,8,0.5,3,0.2,3,0.2
Newcastle upon Tyne 038C,E01035619,1634,100,219,13.4,167,10.2,172,10.5,89,5.4,92,5.6,111,6.8,141,8.6,121,7.4,120,7.3,74,4.5,59,3.6,54,3.3,88,5.4,41,2.5,39,2.4,19,1.2,16,1,12,0.7
Newcastle upon Tyne 038D,E01008335,2130,100,150,7,190,8.9,192,9,173,8.1,192,9,143,6.7,138,6.5,164,7.7,198,9.3,157,7.4,157,7.4,78,3.7,54,2.5,48,2.3,36,1.7,25,1.2,15,0.7,20,0.9
Newcastle upon Tyne 038E,E01008333,1956,100,139,7.1,180,9.2,161,8.2,154,7.9,143,7.3,133,6.8,146,7.5,177,9,147,7.5,112,5.7,101,5.2,83,4.2,73,3.7,62,3.2,53,2.7,32,1.6,26,1.3,34,1.7
Newcastle upon Tyne 039A,E01008399,2042,100,126,6.2,139,6.8,164,8,152,7.4,198,9.7,159,7.8,117,5.7,151,7.4,133,6.5,171,8.4,123,6,95,4.7,76,3.7,88,4.3,60,2.9,35,1.7,29,1.4,26,1.3
Newcastle upon Tyne 039B,E01035620,1739,100,9,0.5,5,0.3,2,0.1,455,26.2,750,43.1,243,14,101,5.8,55,3.2,26,1.5,16,0.9,15,0.9,25,1.4,10,0.6,19,1.1,5,0.3,2,0.1,1,0.1,0,0
Newcastle upon Tyne 039C,E01035621,1998,100,38,1.9,26,1.3,12,0.6,623,31.2,567,28.4,201,10.1,116,5.8,87,4.4,63,3.2,41,2.1,53,2.7,46,2.3,26,1.3,51,2.6,12,0.6,15,0.8,6,0.3,15,0.8
Newcastle upon Tyne 039D,E01008439,1751,100,111,6.3,107,6.1,124,7.1,108,6.2,112,6.4,111,6.3,142,8.1,141,8.1,141,8.1,119,6.8,151,8.6,116,6.6,82,4.7,70,4,52,3,29,1.7,20,1.1,15,0.9
Newcastle upon Tyne 040A,E01035622,1209,100,76,6.3,58,4.8,82,6.8,62,5.1,70,5.8,91,7.5,103,8.5,75,6.2,79,6.5,58,4.8,132,10.9,138,11.4,55,4.5,39,3.2,46,3.8,26,2.2,15,1.2,4,0.3
